id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at
1432,26AB00057,2,02/19/2026 04:06 PM,02/19/2026 04:06 PM,02/19/2026 04:25 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-21 20:58:08
1433,PSHI-2026-02-I-134045,1,02/19/2026 03:03 PM,02/19/2026 05:00 PM,,,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-21 20:58:08
1434,PSHI-2026-02-I-134044,1,02/19/2026 03:01 PM,02/19/2026 02:42 PM,,,Hershey - Dispatched To: COM - Basic Science - 1 > COM - Basic Science - 1,2026-02-21 20:58:08
1435,26WS00008,22,02/19/2026 03:00 PM,01/30/2026 07:00 AM,02/18/2026 04:53 PM,Employee reported damage to University property,BUSINESS BUILDING,2026-02-21 20:58:08
1436,2026-00002216,1,02/19/2026 02:58 PM,02/19/2026 01:20 PM,02/19/2026 02:40 PM,Student reported the theft of their unsecured personal property,OSMOND LAB,2026-02-21 20:58:08
1437,2026-00002215,1,02/19/2026 02:51 PM,02/19/2026 02:51 PM,02/19/2026 05:28 PM,Employee reported suspicious activity,GRANGE BLDG,2026-02-21 20:58:08
1438,2026-00002208,1,02/19/2026 01:38 PM,02/13/2026 04:28 PM,02/13/2026 07:30 PM,Student reported the theft of their unsecured personal property,INTRAMURAL BLDG,2026-02-21 20:58:08
1439,2026-00002213,1,02/19/2026 01:02 PM,02/19/2026 12:48 PM,02/19/2026 01:02 PM,Employee reported concern for a student,OSBORN HALL,2026-02-21 20:58:08
1440,26HB00079,13,02/19/2026 12:57 PM,01/05/2026 12:00 AM,02/19/2026 12:00 AM,Employee reported damage to University property,OLMSTED BUILDING,2026-02-21 20:58:08
1441,2026-00002212,1,02/19/2026 12:20 PM,02/02/2026 12:00 AM,02/18/2026 11:59 PM,Student reported being harassed by another student,WARNOCK HALL,2026-02-21 20:58:08
1442,2026-00002210,1,02/19/2026 12:00 PM,02/19/2026 12:00 PM,02/19/2026 01:00 PM,Officer conducted a security inspection,SNIDER AGRICULTURAL ARENA,2026-02-21 20:58:08
1443,PSHI-2026-02-I-134033,1,02/19/2026 10:43 AM,,,,Hershey - Dispatched To: HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - West (HVPCU) > HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - West (HVPCU),2026-02-21 20:58:08
1444,PSHI-2026-02-I-134030,1,02/19/2026 10:08 AM,02/19/2026 09:48 AM,,,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-21 20:58:08
1445,2026-00002205,1,02/19/2026 06:30 AM,02/19/2026 06:30 AM,02/19/2026 07:30 AM,Officer conducted a security inspection,NITTANY LION INN,2026-02-21 20:58:08
1446,PSHI-2026-02-I-134022,1,02/19/2026 04:42 AM,02/19/2026 03:38 AM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-21 20:58:08
1447,2026-00002202,1,02/19/2026 04:24 AM,02/19/2026 04:15 AM,02/19/2026 04:24 AM,Student reported another student engaged in disorderly behavior,STONE HALL,2026-02-21 20:58:08
1448,PSHI-2026-02-I-134021,1,02/19/2026 03:26 AM,02/19/2026 03:20 AM,,Visitor mismatch to the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-21 20:58:08
1449,PSHI-2026-02-I-134017,1,02/19/2026 02:51 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit East (HVCCU) > HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit East (HVCCU),2026-02-21 20:58:08
1450,PSHI-2026-02-I-134015,1,02/19/2026 01:50 AM,02/19/2026 01:14 AM,,Property related matter lost and found.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-21 20:58:08
1451,PSHI-2026-02-I-134013,1,02/18/2026 09:52 PM,02/18/2026 07:10 PM,,,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-21 20:58:08
1452,PSHI-2026-02-I-134012,1,02/18/2026 09:08 PM,02/18/2026 06:21 PM,,,Hershey - Dispatched To: HMC - Main Hospital - 6 - MIMCU > HMC - Main Hospital - 6 - MIMCU,2026-02-21 20:58:08
1453,2026-00002174,1,02/18/2026 07:20 PM,02/16/2026 10:30 PM,02/17/2026 12:00 AM,Student reported a person trespassing inside a residence hall,PINCHOT HALL,2026-02-21 20:58:08
1454,26BK00034,4,02/18/2026 07:07 PM,02/18/2026 07:07 PM,,Visitor reported a concern for another employee,29TH WAY N,2026-02-21 20:58:08
1455,PSHI-2026-02-I-134005,1,02/18/2026 04:22 PM,02/18/2026 04:03 PM,,,Hershey - Dispatched To: HMC - Main Hospital - 6 > HMC - Main Hospital - 6,2026-02-21 20:58:08
1456,26AB00056,2,02/18/2026 03:42 PM,02/18/2026 03:42 PM,02/18/2026 04:09 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-21 20:58:08
1457,PSHI-2026-02-I-134003,1,02/18/2026 03:41 PM,02/18/2026 03:10 PM,,Asssited LE with access to patient.,Hershey - Reported Location: HMC - Main Hospital - 1 - Security Operations Center,2026-02-21 20:58:08
1458,PSHI-2026-02-I-134001,1,02/18/2026 02:56 PM,02/18/2026 02:41 PM,,Team de-escalation plan for agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 6 > HMC - Main Hospital - 6,2026-02-21 20:58:08
1459,26BR00011,6,02/18/2026 01:30 PM,02/16/2026 12:00 AM,02/16/2026 11:59 PM,Employee reported unsafe conditions,LOT A - BEAVER,2026-02-21 20:58:08
1460,26BW00032,7,02/18/2026 01:15 PM,02/18/2026 01:15 PM,02/18/2026 01:22 PM,Employee reported a parking concern,COMMONS & ATHLETIC CENTER,2026-02-21 20:58:08
1461,26LV00004,16,02/18/2026 12:15 PM,02/17/2026 12:00 AM,,Employee reported a concern for another student,LEHIGH VALLEY BLDG,2026-02-21 20:58:08
1462,2026-00002160,1,02/18/2026 11:46 AM,02/18/2026 11:46 AM,,Visitor reported suspicious activity,UNIVERSITY SUPPORT BLDG I,2026-02-21 20:58:08
1463,2026-00002159,1,02/18/2026 11:02 AM,02/17/2026 03:28 PM,02/17/2026 08:47 PM,Student reported the theft of unsecured personal property,BUS SHELTER MCCOY NATATORIUM,2026-02-21 20:58:08
1464,26AL00079,3,02/18/2026 11:00 AM,02/13/2026 01:37 AM,02/13/2026 02:44 AM,Employee reported a student being harassed,OAK HALL,2026-02-21 20:58:08
1465,2026-00002158,1,02/18/2026 10:01 AM,02/18/2026 09:46 AM,02/18/2026 10:45 AM,Employee requested assistance with a personal matter,G THOMAS WATER TUNNEL,2026-02-21 20:58:08
1466,PSHI-2026-02-I-133990,1,02/18/2026 09:48 AM,02/18/2026 08:40 AM,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-21 20:58:08
1467,PSHI-2026-02-I-133989,1,02/18/2026 09:23 AM,02/18/2026 07:30 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 2 - PreOp\SameDay > HMC - Main Hospital - 2 - PreOp\SameDay,2026-02-21 20:58:08
1468,PSHI-2026-02-I-133985,1,02/18/2026 07:45 AM,02/18/2026 07:30 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-21 20:58:08
1469,PSHI-2026-02-I-133980,1,02/18/2026 06:19 AM,02/18/2026 06:16 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 1 - Main Information Desk > HMC - Main Hospital - 1 - Main Information Desk,2026-02-21 20:58:08
1470,PSHI-2026-02-I-133979,1,02/18/2026 02:48 AM,02/18/2026 01:17 AM,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-21 20:58:08
1471,26SL00016,19,02/17/2026 09:13 PM,02/17/2026 09:13 PM,02/17/2026 09:30 PM,Assisted an outside law enforcement agency with an investigation,ST JOHN ST,2026-02-21 20:58:08
1472,26HB00085,13,02/17/2026 06:58 PM,02/17/2026 06:58 PM,02/17/2026 07:45 PM,Assisted the ambulance with a medical emergency,CAPITAL UNION BUILDING,2026-02-21 20:58:08
1473,26AL00078,3,02/17/2026 06:47 PM,02/17/2026 06:47 PM,,Student reported suspicious activity,SLEP STUDENT CENTER,2026-02-21 20:58:08
1474,26BR00010,6,02/17/2026 02:00 PM,02/17/2026 01:58 PM,,Student reported a two vehicle crash with no injuries,HARMONY HALL LOT - BEAVER,2026-02-21 20:58:08
1475,26AL00077,3,02/17/2026 01:30 PM,02/17/2026 01:30 PM,,Employee reported a two vehicle crash with no injuries,SLEP LOT - YSL - ALTOONA,2026-02-21 20:58:08
1476,26HB00083,13,02/17/2026 01:00 PM,02/13/2026 11:00 AM,02/13/2026 11:01 AM,Student reported a hit and run vehicle crash,OLMSTED PARKING LOT - HARRISBURG,2026-02-21 20:58:08
1477,26WS00007,22,02/17/2026 11:55 AM,02/17/2026 11:49 AM,02/17/2026 11:50 AM,Student reported damage to their privately owned vehicle,BB02 LOT - SCRANTON,2026-02-21 20:58:08
1478,26BR00009,6,02/17/2026 11:06 AM,02/17/2026 11:06 AM,,Employee reported a concern for another person,UNIVERSITY DR,2026-02-21 20:58:08
1479,26AL00076,3,02/17/2026 09:20 AM,02/17/2026 09:20 AM,,Assisted an outside law enforcement agency with an investigation,POPLAR BLDG,2026-02-21 20:58:08
1480,26BW00042,7,02/16/2026 11:21 PM,02/16/2026 11:21 PM,02/16/2026 11:37 PM,Employee reported an intrusion alarm activation,EDWARD S J TOMEZSKO CLASSROOM BUILDING,2026-02-21 20:58:08
1481,26ER00051,5,02/16/2026 09:43 PM,02/16/2026 09:43 PM,02/16/2026 10:15 PM,Student reported suspicious activity,REED BUILDING,2026-02-21 20:58:08
1482,26HB00082,13,02/16/2026 03:42 PM,02/16/2026 03:42 PM,02/16/2026 04:00 PM,Student reported accidental damage to a privately owned vehicle,EAB LOT - HARRISBURG,2026-02-21 20:58:08
1483,26ER00050,5,02/16/2026 03:20 PM,02/16/2026 03:15 PM,02/16/2026 03:30 PM,Employee reported a concern for a visitor,REED LOT - ERIE,2026-02-21 20:58:08
1484,26BW00039,7,02/16/2026 11:05 AM,02/15/2026 12:01 AM,,Student reported they were indecently assaulted by a known person in a residence hall,RESIDENCE HALL,2026-02-21 20:58:08
1485,26BW00040,7,02/16/2026 11:05 AM,02/15/2026 12:00 AM,,Student reported being harassed,ORCHARD HALL,2026-02-21 20:58:08
1486,26SH00001,20,02/16/2026 09:45 AM,02/16/2026 09:45 AM,,Employee requested assistance with an administrative matter,SHARON HALL,2026-02-21 20:58:08
1487,26HB00081,13,02/16/2026 09:30 AM,02/16/2026 09:30 AM,02/16/2026 09:45 AM,Employee reported abandoned property,OLMSTED DRIVE LOT - HARRISBURG,2026-02-21 20:58:08
1488,26ER00049,5,02/15/2026 08:15 PM,02/15/2026 08:15 PM,02/15/2026 09:12 PM,Employee reported a fire alarm activation,VARIOUS ON-CAMPUS BUILDINGS AND RESIDENCE HALLS,2026-02-21 20:58:08
1489,26AL00075,3,02/15/2026 07:08 PM,02/15/2026 07:00 PM,02/15/2026 07:08 PM,Student reported being physically assaulted by a known person,SPRUCE HALL,2026-02-21 20:58:08
1490,26BW00038,7,02/15/2026 10:25 AM,02/15/2026 10:25 AM,,Student requested assistance with a personal matter,ORCHARD HALL,2026-02-21 20:58:08
1491,26HB00078,13,02/15/2026 09:45 AM,12/31/2025 12:00 AM,02/15/2026 09:45 AM,Student reported being harassed,MAHANOY HOUSE,2026-02-21 20:58:08
1492,26HB00077,13,02/14/2026 10:04 PM,02/14/2026 10:04 PM,02/14/2026 10:14 PM,Student reported being harassed,MAHANOY HOUSE,2026-02-21 20:58:08
1493,26ER00048,5,02/14/2026 09:03 PM,02/14/2026 09:03 PM,02/14/2026 09:30 PM,Student reported a suspicious odor,NIAGARA HALL,2026-02-21 20:58:08
1494,26BW00037,7,02/14/2026 04:57 PM,02/14/2026 04:57 PM,02/14/2026 05:58 PM,Employee reported disorderly persons,COMMONS & ATHLETIC CENTER,2026-02-21 20:58:08
1495,26AL00074,3,02/14/2026 02:55 PM,02/14/2026 02:55 PM,02/14/2026 04:40 PM,Visitor reported a concern for a student,SPRUCE HALL,2026-02-21 20:58:08
1496,26BW00041,7,02/14/2026 10:56 AM,02/16/2026 10:56 AM,,Student reported they were indecently assaulted by a known person in a residencehall,RESIDENCE HALL,2026-02-21 20:58:08
1497,26AL00073,3,02/14/2026 09:29 AM,02/13/2026 05:00 PM,02/13/2026 09:29 AM,Employee reported damage to University property,OAK HALL,2026-02-21 20:58:08
1498,26MA00003,17,02/14/2026 06:01 AM,02/14/2026 05:26 AM,02/14/2026 05:29 AM,Student reported the theft of their unattended personal property,MONT ALTO HALL,2026-02-21 20:58:08
1499,26SL00017,19,02/14/2026 02:06 AM,02/14/2026 02:06 AM,02/14/2026 02:38 AM,Assisted a student with a personal matter,STUDENT PARKING LOT - SCHUYLKILL,2026-02-21 20:58:08
1500,26BW00036,7,02/13/2026 06:16 PM,02/13/2026 05:40 PM,02/13/2026 06:16 PM,Assisted the ambulance with a medical emergency,ORCHARD HALL,2026-02-21 20:58:08
1501,26WS00006,22,02/13/2026 10:20 AM,02/13/2026 10:20 AM,02/13/2026 11:30 AM,Employee requested assistance in locating another employee,CAMAC AVE,2026-02-21 20:58:08
1502,26BW00035,7,02/13/2026 09:19 AM,02/13/2026 09:19 AM,02/13/2026 10:17 AM,Employee reported suspicious activity,EDWARD S J TOMEZSKO CLASSROOM BUILDING,2026-02-21 20:58:08
1503,26BW00034,7,02/13/2026 05:34 AM,02/13/2026 05:34 AM,02/13/2026 05:42 AM,Employee reported an intrusion alarm activation,MAIN BUILDING,2026-02-21 20:58:08
1504,26ER00047,5,02/13/2026 12:00 AM,02/13/2026 12:00 AM,,Student reported a suspicious odor,NIAGARA HALL,2026-02-21 20:58:08
1505,26BW00033,7,02/12/2026 02:03 PM,02/12/2026 02:03 PM,,Student reported suspicious person,COMMONS & ATHLETIC CENTER,2026-02-21 20:58:08
1506,26HB00073,13,02/12/2026 01:41 PM,02/11/2026 03:30 PM,02/11/2026 04:00 PM,Employee reported a concern for another employee,OLMSTED BUILDING,2026-02-21 20:58:08
1507,26AL00072,3,02/12/2026 12:05 PM,02/12/2026 12:05 PM,,Employee reported suspicious activity,PORT SKY CAFE,2026-02-21 20:58:08
1508,26BR00008,6,02/12/2026 02:49 AM,02/12/2026 02:49 AM,02/12/2026 03:00 AM,Student reported a concern for another student,HARMONY HALL,2026-02-21 20:58:08
1509,26AL00071,3,02/12/2026 12:48 AM,02/12/2026 12:48 AM,,Assisted the ambulance with a medical emergency,OAK HALL,2026-02-21 20:58:08
1510,26MA00002,17,02/11/2026 12:05 PM,02/09/2026 07:40 PM,02/10/2026 12:35 AM,Employee requested assistance with an administrative matter,MULTI-PURPOSE ACTIVITIES CENTER,2026-02-21 20:58:08
1511,26HN00017,15,02/24/2026 04:25 AM,02/24/2026 04:25 AM,02/24/2025 04:50 AM,Employee reported an intrusion alarm activation,DINING HALL,2026-02-25 02:54:48
1512,2026-00002453,1,02/24/2026 03:20 AM,12/25/2025 12:00 AM,02/24/2026 03:20 AM,Student reported being harassed,SOUTH HALLS RESIDENCE COMPLEX,2026-02-25 02:54:48
1513,26AB00072,2,02/24/2026 02:30 AM,02/24/2026 02:25 AM,02/24/2026 03:00 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48
1514,2026-00002439,1,02/23/2026 10:53 PM,02/23/2026 10:53 PM,02/23/2026 11:00 PM,Employee reported a suspicious odor,STONE HALL,2026-02-25 02:54:48
1515,2026-00002438,1,02/23/2026 10:10 PM,02/22/2026 06:58 PM,,Student reported being harassed,BRUMBAUGH HALL,2026-02-25 02:54:48
1516,2026-00002432,1,02/23/2026 08:53 PM,02/23/2026 08:53 PM,02/23/2026 09:15 PM,Employee reported a suspcious vehicle,EAST PARKING DECK,2026-02-25 02:54:48
1517,26BK00040,4,02/23/2026 05:46 PM,02/23/2026 05:46 PM,02/23/2026 05:58 PM,,OAKMOSS HALL,2026-02-25 02:54:48
1518,26ER00054,5,02/23/2026 05:20 PM,02/13/2026 06:00 PM,02/20/2026 10:00 PM,Student reported the theft of their unattended personal property,NIAGARA HALL,2026-02-25 02:54:48
1519,26AL00091,3,02/23/2026 03:26 PM,02/23/2026 03:26 PM,02/23/2026 04:00 PM,Assisted an outside law enforcement agency with an investigation,PARKSIDE DR,2026-02-25 02:54:48
1520,2026-00002417,1,02/23/2026 02:18 PM,02/23/2026 02:00 PM,02/23/2026 02:15 PM,Employee reported a two vehicle crash with no injuries,EAST PARKING DECK,2026-02-25 02:54:48
1521,26AL00090,3,02/23/2026 12:45 PM,02/22/2026 11:47 PM,02/22/2023 11:48 PM,Employee reported suspicious activity,HAWTHORN LOT - ALTOONA,2026-02-25 02:54:48
1522,2026-00002416,1,02/23/2026 12:21 PM,02/23/2026 12:21 PM,02/23/2026 01:10 PM,Visitor requested assistance in locating a student,MCELWAIN HALL,2026-02-25 02:54:48
1523,26AL00089,3,02/23/2026 12:19 PM,02/22/2026 04:15 PM,02/22/2026 06:30 PM,Student reported suspicious persons,OAK HALL,2026-02-25 02:54:48
1524,26HB00088,13,02/23/2026 11:52 AM,02/20/2026 05:00 PM,02/23/2026 11:30 AM,Employee reported suspicious activity,OLMSTED BUILDING,2026-02-25 02:54:48
1525,2026-00002410,1,02/23/2026 09:43 AM,02/23/2026 07:03 AM,02/23/2026 07:04 AM,Employee reported a one vehicle crash with no injuries,HUB PARKING DECK,2026-02-25 02:54:48
1526,26SH00002,20,02/23/2026 09:24 AM,02/23/2026 09:15 AM,,Employee requested assistance with an administrative matter,BLACK AND BASHORE BUILDING SIDEWALK AREA,2026-02-25 02:54:48
1527,2026-00002409,1,02/23/2026 09:11 AM,02/23/2026 06:00 AM,02/23/2026 09:00 AM,Assisted the ambulance with a medical emergency,HAFFNER HALL,2026-02-25 02:54:48
1528,2026-00002407,1,02/23/2026 08:43 AM,02/21/2026 12:00 AM,02/21/2026 04:00 PM,Employee reported suspcious activity,EAST PARKING DECK,2026-02-25 02:54:48
1529,26AL00088,3,02/23/2026 12:47 AM,02/23/2026 12:47 AM,02/23/2026 03:00 AM,Students found in possession of marijuana and drug paraphernalia,OAK HALL,2026-02-25 02:54:48
1530,2026-00002397,1,02/23/2026 12:05 AM,02/22/2026 11:49 PM,02/23/2026 12:05 AM,Employee reported a hit and run crash,HUB PARKING DECK,2026-02-25 02:54:48
1531,26HB00087,13,02/22/2026 11:42 PM,02/22/2026 11:42 PM,02/22/2026 11:55 PM,Employee reported a fire alarm activation,FALCON HALL,2026-02-25 02:54:48
1532,PSHI-2026-02-I-134166,1,02/22/2026 11:08 PM,02/22/2026 10:34 PM,,,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-25 02:54:48
1533,PSHI-2026-02-I-134165,1,02/22/2026 11:07 PM,02/22/2026 08:51 PM,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48
1534,26ER00053,5,02/22/2026 09:25 PM,02/22/2026 09:25 PM,02/22/2026 10:30 PM,Student reported a suspicious person,SENAT HALL,2026-02-25 02:54:48
1535,26AB00061,2,02/22/2026 09:00 PM,02/22/2026 08:50 PM,02/22/2026 08:55 PM,Employee reported afire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48
1536,26AL00087,3,02/22/2026 07:25 PM,02/22/2026 07:25 PM,02/22/2026 07:40 PM,Student reported a concern for another student,OAK HALL,2026-02-25 02:54:48
1537,2026-00002379,1,02/22/2026 06:34 PM,02/22/2026 06:34 PM,02/22/2026 07:50 PM,Assisted the fire department with a reported smoke condition,BEAM HALL,2026-02-25 02:54:48
1538,26AL00086,3,02/22/2026 05:50 PM,02/20/2026 12:00 PM,02/21/2026 08:30 PM,Student reported damage to their personally owned vehicle,MAPLE LOT - GMA - ALTOONA,2026-02-25 02:54:48
1539,PSHI-2026-02-I-134161,1,02/22/2026 04:25 PM,02/22/2026 02:08 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 3 > HMC - Children's Hospital - 3,2026-02-25 02:54:48
1540,PSHI-2026-02-I-134160,1,02/22/2026 04:09 PM,02/22/2026 03:39 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48
1541,PSHI-2026-02-I-134155,1,02/22/2026 02:47 PM,02/22/2026 01:43 PM,,,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48
1542,26AB00060,2,02/22/2026 02:10 PM,02/22/2026 02:10 PM,02/22/2026 02:40 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48
1543,26AL00085,3,02/22/2026 02:08 PM,02/22/2026 02:08 PM,02/22/2026 02:24 PM,Assisted an outside law enforcement agency with an investigation,JUNIATA GAP RD & BECKERS LN,2026-02-25 02:54:48
1544,26SL00020,19,02/22/2026 01:48 PM,02/22/2026 01:48 PM,02/22/2026 02:00 PM,Employee reported a University policy violation,HEALTH & WELLNESS BUILDING,2026-02-25 02:54:48
1545,2026-00002365,1,02/22/2026 01:03 PM,01/22/2026 12:00 AM,02/22/2026 01:03 PM,Student reported being harassed,DEIKE BLDG,2026-02-25 02:54:48
1546,26AL00084,3,02/22/2026 12:00 PM,02/22/2026 12:00 PM,02/22/2026 12:21 PM,Assisted an outside law enforcement agency with an investigation,CAMPUS VIEW DR,2026-02-25 02:54:48
1547,2026-00002358,1,02/22/2026 07:01 AM,02/22/2026 06:55 AM,02/22/2026 07:01 AM,Employee reported a one vehicle crash with no injuries,NITTANY PARKING,2026-02-25 02:54:48
1548,PSHI-2026-02-I-134146,1,02/22/2026 05:44 AM,02/22/2026 05:05 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 3 - Acute Care Medical Oncology       > HMC - Main Hospital - 3 - Acute Care Medical Oncology,2026-02-25 02:54:48
1549,PSHI-2026-02-I-134145,1,02/22/2026 05:38 AM,02/22/2026 04:59 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-25 02:54:48
1550,26SL00019,19,02/22/2026 03:40 AM,02/22/2026 03:30 AM,02/22/2026 03:40 AM,Assisted an outside law enforcement agency with an investigation,DOCK ST,2026-02-25 02:54:48
1551,PSHI-2026-02-I-134144,1,02/22/2026 03:05 AM,02/22/2026 02:13 AM,,Assisted clinical staff with moving a patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48
1552,2026-00002352,1,02/22/2026 02:19 AM,02/22/2026 02:00 AM,02/22/2026 02:19 AM,Student reported a hit and run crash,MCKEAN RD,2026-02-25 02:54:48
1553,2026-00002349,1,02/22/2026 01:05 AM,02/22/2026 01:02 AM,02/22/2026 01:49 AM,Assisted ambulance with a medical emergency,MCKEE HALL,2026-02-25 02:54:48
1554,2026-00002350,1,02/22/2026 12:56 AM,02/22/2026 12:56 AM,02/22/2026 01:15 AM,Underage student observed highly intoxicated and transported to the hospital,STUART HALL,2026-02-25 02:54:48
1555,PSHI-2026-02-I-134140,1,02/22/2026 12:35 AM,02/21/2026 10:32 PM,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48
1556,PSHI-2026-02-I-134139,1,02/21/2026 11:20 PM,02/21/2026 10:15 PM,,Assisted clinical staff with property damage.,Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,2026-02-25 02:54:48
1557,PSHI-2026-02-I-134138,1,02/21/2026 11:08 PM,02/21/2026 10:48 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48
1558,PSHI-2026-02-I-134137,1,02/21/2026 10:31 PM,02/21/2026 09:49 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48
1559,26BR00013,6,02/21/2026 10:21 PM,02/21/2026 10:21 PM,02/21/2026 10:54 PM,Assisted the ambulance with a medical emergency,HARMONY HALL,2026-02-25 02:54:48
1560,PSHI-2026-02-I-134136,1,02/21/2026 09:59 PM,02/17/2026 02:00 AM,,Investigate suspicious activity.,Hershey - Reported Location: HMC - Main Hospital - 1,2026-02-25 02:54:48
1561,26AL00083,3,02/21/2026 09:30 PM,02/21/2026 08:20 PM,02/21/2026 11:20 PM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,POPLAR LOT - BPO - ALTOONA,2026-02-25 02:54:48
1562,26ER00052,5,02/21/2026 09:00 PM,02/20/2026 03:30 PM,02/20/2026 11:00 PM,Student reported the theft of their unattended personal property,ALMY HALL,2026-02-25 02:54:48
1563,PSHI-2026-02-I-134134,1,02/21/2026 08:03 PM,02/21/2026 06:27 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48
1564,2026-00002332,1,02/21/2026 08:00 PM,02/21/2026 08:00 PM,,Conducted a background investigation for a ride-along,UNIVERSITY SUPPORT BLDG I,2026-02-25 02:54:48
1565,26SL00018,19,02/21/2026 05:30 PM,02/21/2026 01:42 PM,02/21/2026 01:43 PM,Employee reported accidental damage to University property,UNIVERISITY DR,2026-02-25 02:54:48
1566,26AB00059,2,02/21/2026 04:43 PM,02/21/2026 04:43 PM,02/21/2026 05:03 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48
1567,PSHI-2026-02-I-134123,1,02/21/2026 04:29 PM,,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48
1568,PSHI-2026-02-I-134122,1,02/21/2026 03:32 PM,02/21/2026 02:59 PM,,Visitor issue.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48
1569,PSHI-2026-02-I-134121,1,02/21/2026 03:12 PM,02/21/2026 02:00 PM,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Children's Hospital - 7 > HMC - Children's Hospital - 7,2026-02-25 02:54:48
1570,PSHI-2026-02-I-134120,1,02/21/2026 03:05 PM,02/21/2026 02:50 PM,,Assisted visitor with return of personal property.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48
1571,26BR00012,6,02/21/2026 02:06 PM,02/21/2026 02:06 PM,02/21/2026 02:11 PM,Employee reported suspicious activity,UNIVERSITY DR,2026-02-25 02:54:48
1572,26BK00037,4,02/21/2026 12:45 PM,02/21/2026 07:00 AM,02/21/2026 12:45 PM,Employee reported a parking concern,CLARY DR,2026-02-25 02:54:48
1573,2026-00002307,1,02/21/2026 10:12 AM,02/21/2026 10:00 AM,02/21/2026 10:15 AM,Employee reported loud music,IKENBERRY HALL,2026-02-25 02:54:48
1574,26HB00086,13,02/21/2026 10:08 AM,02/21/2026 10:08 AM,02/21/2026 10:25 AM,Assisted an outside law enforcement agency with an investigation,W MAIN ST,2026-02-25 02:54:48
